Z(3, 3, 3, 6): Max: 9; Mean: 9; Variance: 0; Size: 10; Time: 0.0403 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 4, 3, 6): Max: 12; Mean: 12; Variance: 0; Size: 10; Time: 0.009 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 5, 3, 6): Max: 15; Mean: 15; Variance: 0; Size: 10; Time: 0.0091 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 6, 3, 6): Max: 17; Mean: 17; Variance: 0; Size: 10; Time: 0.0098 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 7, 3, 6): Max: 19; Mean: 19; Variance: 0; Size: 10; Time: 0.0103 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 8, 3, 6): Max: 21; Mean: 21; Variance: 0; Size: 10; Time: 0.0113 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 9, 3, 6): Max: 23; Mean: 23; Variance: 0; Size: 10; Time: 0.0123 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 10, 3, 6): Max: 25; Mean: 25; Variance: 0; Size: 10; Time: 0.0177 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 11, 3, 6): Max: 27; Mean: 27; Variance: 0; Size: 10; Time: 0.015 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 12, 3, 6): Max: 29; Mean: 29; Variance: 0; Size: 10; Time: 0.0165 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 13, 3, 6): Max: 31; Mean: 31; Variance: 0; Size: 10; Time: 0.0182 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 14, 3, 6): Max: 33; Mean: 33; Variance: 0; Size: 10; Time: 0.0195 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 15, 3, 6): Max: 35; Mean: 35; Variance: 0; Size: 10; Time: 0.0205 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 16, 3, 6): Max: 37; Mean: 37; Variance: 0; Size: 10; Time: 0.0222 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(3, 17, 3, 6): Max: 39; Mean: 39; Variance: 0; Size: 10; Time: 0.0251 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
