Z(3, 3, 3, 6): Max: 9; Mean: 9; Variance: 0; Size: 100; Time: 0.0635 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 4, 3, 6): Max: 12; Mean: 12; Variance: 0; Size: 100; Time: 0.0459 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 5, 3, 6): Max: 15; Mean: 15; Variance: 0; Size: 100; Time: 0.0358 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 6, 3, 6): Max: 17; Mean: 17; Variance: 0; Size: 100; Time: 0.0403 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 7, 3, 6): Max: 19; Mean: 19; Variance: 0; Size: 100; Time: 0.0439 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 8, 3, 6): Max: 21; Mean: 21; Variance: 0; Size: 100; Time: 0.053 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 9, 3, 6): Max: 23; Mean: 23; Variance: 0; Size: 100; Time: 0.0606 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 10, 3, 6): Max: 25; Mean: 25; Variance: 0; Size: 100; Time: 0.0739 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 11, 3, 6): Max: 27; Mean: 27; Variance: 0; Size: 100; Time: 0.0866 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 12, 3, 6): Max: 29; Mean: 29; Variance: 0; Size: 100; Time: 0.102 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 13, 3, 6): Max: 31; Mean: 31; Variance: 0; Size: 100; Time: 0.1258 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 14, 3, 6): Max: 33; Mean: 33; Variance: 0; Size: 100; Time: 0.1315 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 15, 3, 6): Max: 35; Mean: 35; Variance: 0; Size: 100; Time: 0.142 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 16, 3, 6): Max: 37; Mean: 37; Variance: 0; Size: 100; Time: 0.1578 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 17, 3, 6): Max: 39; Mean: 39; Variance: 0; Size: 100; Time: 0.1869 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 18, 3, 6): Max: 41; Mean: 41; Variance: 0; Size: 100; Time: 0.1775 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 19, 3, 6): Max: 43; Mean: 43; Variance: 0; Size: 100; Time: 0.1901 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 20, 3, 6): Max: 45; Mean: 45; Variance: 0; Size: 100; Time: 0.2362 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 21, 3, 6): Max: 47; Mean: 47; Variance: 0; Size: 100; Time: 0.2604 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 22, 3, 6): Max: 49; Mean: 49; Variance: 0; Size: 100; Time: 0.2943 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 23, 3, 6): Max: 51; Mean: 51; Variance: 0; Size: 100; Time: 0.2559 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 24, 3, 6): Max: 53; Mean: 53; Variance: 0; Size: 100; Time: 0.3015 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 25, 3, 6): Max: 55; Mean: 55; Variance: 0; Size: 100; Time: 0.281 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 26, 3, 6): Max: 57; Mean: 57; Variance: 0; Size: 100; Time: 0.3602 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 27, 3, 6): Max: 59; Mean: 59; Variance: 0; Size: 100; Time: 0.3496 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 28, 3, 6): Max: 61; Mean: 61; Variance: 0; Size: 100; Time: 0.3826 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 29, 3, 6): Max: 63; Mean: 63; Variance: 0; Size: 100; Time: 0.3507 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(3, 30, 3, 6): Max: 65; Mean: 65; Variance: 0; Size: 100; Time: 0.4086 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(4, 3, 3, 6): Max: 12; Mean: 12; Variance: 0; Size: 100; Time: 0.0343 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(4, 4, 3, 6): Max: 16; Mean: 16; Variance: 0; Size: 100; Time: 0.0351 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(4, 5, 3, 6): Max: 20; Mean: 20; Variance: 0; Size: 100; Time: 0.0358 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(4, 6, 3, 6): Max: 22; Mean: 22; Variance: 0; Size: 100; Time: 0.0537 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(4, 7, 3, 6): Max: 24; Mean: 24; Variance: 0; Size: 100; Time: 0.0841 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(4, 8, 3, 6): Max: 27; Mean: 27; Variance: 0; Size: 100; Time: 0.0642 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
Z(4, 9, 3, 6): Max: 29; Mean: 29; Variance: 0; Size: 100; Time: 0.0746 ms; Top5 histogram(relative to max) : 0 0 0 0 100 ;
