Z(2, 2, 2, 3): Max: 4; Mean: 4; Variance: 0; Size: 10; Time: 0.0152 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 3, 2, 3): Max: 5; Mean: 5; Variance: 0; Size: 10; Time: 0.0136 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 4, 2, 3): Max: 6; Mean: 6; Variance: 0; Size: 10; Time: 0.0194 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 5, 2, 3): Max: 7; Mean: 7; Variance: 0; Size: 10; Time: 0.0227 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 6, 2, 3): Max: 8; Mean: 8; Variance: 0; Size: 10; Time: 0.018 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 7, 2, 3): Max: 9; Mean: 9; Variance: 0; Size: 10; Time: 0.0222 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 8, 2, 3): Max: 10; Mean: 10; Variance: 0; Size: 10; Time: 0.0243 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 9, 2, 3): Max: 11; Mean: 11; Variance: 0; Size: 10; Time: 0.0324 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 10, 2, 3): Max: 12; Mean: 12; Variance: 0; Size: 10; Time: 0.0301 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 11, 2, 3): Max: 13; Mean: 13; Variance: 0; Size: 10; Time: 0.0311 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 12, 2, 3): Max: 14; Mean: 14; Variance: 0; Size: 10; Time: 0.0376 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 13, 2, 3): Max: 15; Mean: 15; Variance: 0; Size: 10; Time: 0.0329 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 14, 2, 3): Max: 16; Mean: 16; Variance: 0; Size: 10; Time: 0.0354 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 15, 2, 3): Max: 17; Mean: 17; Variance: 0; Size: 10; Time: 0.0423 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 16, 2, 3): Max: 18; Mean: 18; Variance: 0; Size: 10; Time: 0.0416 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
Z(2, 17, 2, 3): Max: 19; Mean: 19; Variance: 0; Size: 10; Time: 0.0475 ms; Top5 histogram(relative to max) : 0 0 0 0 10 ;
