Z(2, 2, 3, 3): Max: 4; Mean: 4; Variance: 0; Size: 96; Time: 0.0652 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 3, 3, 3): Max: 6; Mean: 6; Variance: 0; Size: 96; Time: 0.0638 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 4, 3, 3): Max: 8; Mean: 8; Variance: 0; Size: 96; Time: 0.0667 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 5, 3, 3): Max: 10; Mean: 10; Variance: 0; Size: 96; Time: 0.0704 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 6, 3, 3): Max: 12; Mean: 12; Variance: 0; Size: 96; Time: 0.0728 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 7, 3, 3): Max: 14; Mean: 14; Variance: 0; Size: 96; Time: 0.0762 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 8, 3, 3): Max: 16; Mean: 16; Variance: 0; Size: 96; Time: 0.0793 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 9, 3, 3): Max: 18; Mean: 18; Variance: 0; Size: 96; Time: 0.0831 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 10, 3, 3): Max: 20; Mean: 20; Variance: 0; Size: 96; Time: 0.0867 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 11, 3, 3): Max: 22; Mean: 22; Variance: 0; Size: 96; Time: 0.0904 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 12, 3, 3): Max: 24; Mean: 24; Variance: 0; Size: 96; Time: 0.0965 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 13, 3, 3): Max: 26; Mean: 26; Variance: 0; Size: 96; Time: 0.2677 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 14, 3, 3): Max: 28; Mean: 28; Variance: 0; Size: 96; Time: 0.1029 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 15, 3, 3): Max: 30; Mean: 30; Variance: 0; Size: 96; Time: 0.1074 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 16, 3, 3): Max: 32; Mean: 32; Variance: 0; Size: 96; Time: 0.0808 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 17, 3, 3): Max: 34; Mean: 34; Variance: 0; Size: 96; Time: 0.1145 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 18, 3, 3): Max: 36; Mean: 36; Variance: 0; Size: 96; Time: 0.1177 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 19, 3, 3): Max: 38; Mean: 38; Variance: 0; Size: 96; Time: 0.1202 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 20, 3, 3): Max: 40; Mean: 40; Variance: 0; Size: 96; Time: 0.1242 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 21, 3, 3): Max: 42; Mean: 42; Variance: 0; Size: 96; Time: 0.1261 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 22, 3, 3): Max: 44; Mean: 44; Variance: 0; Size: 96; Time: 0.1137 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 23, 3, 3): Max: 46; Mean: 46; Variance: 0; Size: 96; Time: 0.1374 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 24, 3, 3): Max: 48; Mean: 48; Variance: 0; Size: 96; Time: 0.1423 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 25, 3, 3): Max: 50; Mean: 50; Variance: 0; Size: 96; Time: 0.1551 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 26, 3, 3): Max: 52; Mean: 52; Variance: 0; Size: 96; Time: 0.1489 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 27, 3, 3): Max: 54; Mean: 54; Variance: 0; Size: 96; Time: 0.1524 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 28, 3, 3): Max: 56; Mean: 56; Variance: 0; Size: 96; Time: 0.1556 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 29, 3, 3): Max: 58; Mean: 58; Variance: 0; Size: 96; Time: 0.159 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 30, 3, 3): Max: 60; Mean: 60; Variance: 0; Size: 96; Time: 0.162 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 3, 3, 3): Max: 8; Mean: 8; Variance: 0; Size: 96; Time: 0.1565 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 4, 3, 3): Max: 10; Mean: 10; Variance: 0; Size: 96; Time: 0.3212 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 5, 3, 3): Max: 12; Mean: 12; Variance: 0; Size: 96; Time: 0.551 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 6, 3, 3): Max: 14; Mean: 14; Variance: 0; Size: 96; Time: 0.9296 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 7, 3, 3): Max: 16; Mean: 16; Variance: 0; Size: 96; Time: 1.1919 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 8, 3, 3): Max: 18; Mean: 18; Variance: 0; Size: 96; Time: 1.8517 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 9, 3, 3): Max: 20; Mean: 20; Variance: 0; Size: 96; Time: 3.1016 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 10, 3, 3): Max: 22; Mean: 22; Variance: 0; Size: 96; Time: 3.4584 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 11, 3, 3): Max: 24; Mean: 24; Variance: 0; Size: 96; Time: 4.8182 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 12, 3, 3): Max: 26; Mean: 26; Variance: 0; Size: 96; Time: 6.7532 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 13, 3, 3): Max: 28; Mean: 28; Variance: 0; Size: 96; Time: 7.6556 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 14, 3, 3): Max: 30; Mean: 30; Variance: 0; Size: 96; Time: 10.1299 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(3, 15, 3, 3): Max: 32; Mean: 32; Variance: 0; Size: 96; Time: 13.1564 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
