Z(2, 2, 3, 3): Max: 4; Mean: 4; Variance: 0; Size: 96; Time: 0.0653 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 3, 3, 3): Max: 6; Mean: 6; Variance: 0; Size: 96; Time: 0.0639 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 4, 3, 3): Max: 8; Mean: 8; Variance: 0; Size: 96; Time: 0.0683 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 5, 3, 3): Max: 10; Mean: 10; Variance: 0; Size: 96; Time: 0.0715 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 6, 3, 3): Max: 12; Mean: 12; Variance: 0; Size: 96; Time: 0.0821 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 7, 3, 3): Max: 14; Mean: 14; Variance: 0; Size: 96; Time: 0.0773 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 8, 3, 3): Max: 16; Mean: 16; Variance: 0; Size: 96; Time: 0.0804 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 9, 3, 3): Max: 18; Mean: 18; Variance: 0; Size: 96; Time: 0.0829 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 10, 3, 3): Max: 20; Mean: 20; Variance: 0; Size: 96; Time: 0.0864 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 11, 3, 3): Max: 22; Mean: 22; Variance: 0; Size: 96; Time: 0.0901 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 12, 3, 3): Max: 24; Mean: 24; Variance: 0; Size: 96; Time: 0.097 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 13, 3, 3): Max: 26; Mean: 26; Variance: 0; Size: 96; Time: 0.1008 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 14, 3, 3): Max: 28; Mean: 28; Variance: 0; Size: 96; Time: 0.1038 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 15, 3, 3): Max: 30; Mean: 30; Variance: 0; Size: 96; Time: 0.1072 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 16, 3, 3): Max: 32; Mean: 32; Variance: 0; Size: 96; Time: 0.1107 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 17, 3, 3): Max: 34; Mean: 34; Variance: 0; Size: 96; Time: 0.0803 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 18, 3, 3): Max: 36; Mean: 36; Variance: 0; Size: 96; Time: 0.117 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 19, 3, 3): Max: 38; Mean: 38; Variance: 0; Size: 96; Time: 0.0906 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 20, 3, 3): Max: 40; Mean: 40; Variance: 0; Size: 96; Time: 0.1246 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 21, 3, 3): Max: 42; Mean: 42; Variance: 0; Size: 96; Time: 0.1262 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 22, 3, 3): Max: 44; Mean: 44; Variance: 0; Size: 96; Time: 0.1214 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 23, 3, 3): Max: 46; Mean: 46; Variance: 0; Size: 96; Time: 0.1384 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 24, 3, 3): Max: 48; Mean: 48; Variance: 0; Size: 96; Time: 0.0957 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 25, 3, 3): Max: 50; Mean: 50; Variance: 0; Size: 96; Time: 0.124 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
Z(2, 26, 3, 3): Max: 52; Mean: 52; Variance: 0; Size: 96; Time: 0.147 ms; Top5 histogram(relative to max) : 0 0 0 0 96 ;
