Max: 14; Mean: 14; Variance: 0; Size: 1000; Time: 104.809 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 15; Mean: 15; Variance: 0; Size: 1000; Time: 115.645 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 16; Mean: 16; Variance: 0; Size: 1000; Time: 127.175 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 17; Mean: 17; Variance: 0; Size: 1000; Time: 140.888 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 18; Mean: 18; Variance: 0; Size: 1000; Time: 153.63 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 19; Mean: 19; Variance: 0; Size: 1000; Time: 163.675 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 20; Mean: 20; Variance: 0; Size: 1000; Time: 179.104 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 21; Mean: 21; Variance: 0; Size: 1000; Time: 195.116 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 22; Mean: 22; Variance: 0; Size: 1000; Time: 208.702 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 23; Mean: 23; Variance: 0; Size: 1000; Time: 220.442 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 24; Mean: 24; Variance: 0; Size: 1000; Time: 241.163 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 25; Mean: 25; Variance: 0; Size: 1000; Time: 264.29 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 26; Mean: 26; Variance: 0; Size: 1000; Time: 270.997 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 27; Mean: 27; Variance: 0; Size: 1000; Time: 291.354 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 28; Mean: 28; Variance: 0; Size: 1000; Time: 304 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 29; Mean: 29; Variance: 0; Size: 1000; Time: 322.424 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
