Z(2, 2, 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 2500; Time: 1.3118 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 3, 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 2500; Time: 2.2086 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 4, 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 2500; Time: 3.2125 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 5, 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 2500; Time: 4.7413 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 6, 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 2500; Time: 5.2415 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 7, 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 2500; Time: 7.2071 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 8, 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 2500; Time: 8.6961 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 9, 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 2500; Time: 11.4485 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 10, 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 2500; Time: 13.8066 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 11, 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 2500; Time: 18.137 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 12, 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 2500; Time: 18.3384 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 13, 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 2500; Time: 21.9676 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 14, 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 2500; Time: 26.6177 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 15, 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 2500; Time: 31.2466 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 16, 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 2500; Time: 46.163 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 17, 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 2500; Time: 46.3694 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 18, 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 2500; Time: 50.8729 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 19, 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 2500; Time: 61.1384 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 20, 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 2500; Time: 71.4304 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 21, 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 2500; Time: 72.3221 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 22, 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 2500; Time: 75.9537 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 23, 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 2500; Time: 95.265 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 24, 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 2500; Time: 97.6548 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 25, 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 2500; Time: 142.334 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 26, 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 2500; Time: 130.24 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
Z(2, 27, 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 2500; Time: 129.607 ms; Top5 histogram(relative to max) : 0 0 0 0 2500 ;
