Z(2, 2, 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 8; Time: 0.017 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 3, 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 8; Time: 0.017 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 4, 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 8; Time: 0.0195 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 5, 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 8; Time: 0.0246 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 6, 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 8; Time: 0.028 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 7, 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 8; Time: 0.0407 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 8, 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 8; Time: 0.0435 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 9, 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 8; Time: 0.0514 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 10, 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 8; Time: 0.0649 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 11, 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 8; Time: 0.0641 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 12, 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 8; Time: 0.093 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 13, 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 8; Time: 0.0881 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 14, 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 8; Time: 0.1119 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
