Z(2, 2, 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 9000; Time: 4.9763 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 3, 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 9000; Time: 9.5563 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 4, 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 9000; Time: 12.5667 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 5, 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 9000; Time: 12.794 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 6, 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 9000; Time: 22.1927 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 7, 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 9000; Time: 18.8282 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 8, 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 9000; Time: 21.3029 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 9, 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 9000; Time: 25.8506 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 10, 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 9000; Time: 29.4305 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 11, 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 9000; Time: 38.8485 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 12, 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 9000; Time: 65.7187 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 13, 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 9000; Time: 55.9865 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 14, 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 9000; Time: 44.6154 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 15, 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 9000; Time: 66.1636 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 16, 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 9000; Time: 64.7507 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 17, 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 9000; Time: 136.708 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 18, 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 9000; Time: 145.509 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 19, 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 9000; Time: 134.825 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 20, 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 9000; Time: 172.047 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 21, 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 9000; Time: 223.308 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 22, 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 9000; Time: 171.592 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 23, 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 9000; Time: 219.493 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 24, 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 9000; Time: 254 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 25, 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 9000; Time: 255.133 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 26, 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 9000; Time: 435.283 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 27, 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 9000; Time: 526.66 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 28, 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 9000; Time: 406.527 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 29, 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 9000; Time: 454.231 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 30, 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 9000; Time: 342.514 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 31, 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 9000; Time: 576.035 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 32, 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 9000; Time: 420.678 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 33, 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 9000; Time: 768.706 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 34, 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 9000; Time: 607.285 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 35, 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 9000; Time: 724.145 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 36, 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 9000; Time: 746.203 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 37, 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 9000; Time: 671.431 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 38, 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 9000; Time: 986.404 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 39, 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 9000; Time: 1314.67 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(2, 40, 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 9000; Time: 1083.23 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(3, 3, 2, 2): Max: 6; Mean: 5.99922; Variance: 0.000777173; Size: 9000; Time: 15.4962 ms; Top5 histogram(relative to max) : 0 0 0 7 8993 ;
Z(3, 4, 2, 2): Max: 7; Mean: 6.99922; Variance: 0.000777173; Size: 9000; Time: 16.4504 ms; Top5 histogram(relative to max) : 0 0 0 7 8993 ;
Z(3, 5, 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 9000; Time: 22.5462 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(3, 6, 2, 2): Max: 9; Mean: 8.99878; Variance: 0.00122073; Size: 9000; Time: 30.4953 ms; Top5 histogram(relative to max) : 0 0 0 11 8989 ;
Z(3, 7, 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 9000; Time: 30.6482 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(3, 8, 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 9000; Time: 40.0995 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(3, 9, 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 9000; Time: 45.8881 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(3, 10, 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 9000; Time: 56.1825 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(3, 11, 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 9000; Time: 70.1108 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
Z(3, 12, 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 9000; Time: 81.5993 ms; Top5 histogram(relative to max) : 0 0 0 0 9000 ;
