Z(2, 2, 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 400; Time: 0.2638 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 3, 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 400; Time: 0.5135 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 4, 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 400; Time: 0.6515 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 5, 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 400; Time: 0.9359 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 6, 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 400; Time: 1.221 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 7, 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 400; Time: 1.2282 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 8, 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 400; Time: 1.7494 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 9, 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 400; Time: 2.062 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 10, 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 400; Time: 2.8572 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 11, 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 400; Time: 3.337 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 12, 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 400; Time: 3.9679 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 13, 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 400; Time: 4.2467 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 14, 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 400; Time: 6.5152 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 15, 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 400; Time: 8.079 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 16, 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 400; Time: 7.7214 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 17, 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 7.3031 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 18, 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 400; Time: 11.5814 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 19, 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 400; Time: 12.0729 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 20, 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 400; Time: 11.3181 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 21, 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 400; Time: 12.6582 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 22, 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 400; Time: 17.9351 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 23, 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 400; Time: 21.6858 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 24, 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 400; Time: 19.5477 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 25, 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 18.4855 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 26, 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 400; Time: 26.4051 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 27, 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 400; Time: 24.1777 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
Z(2, 28, 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 400; Time: 31.2401 ms; Top5 histogram(relative to max) : 0 0 0 0 400 ;
