Z(2, 2, 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 8; Time: 0.0202 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 3, 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 8; Time: 0.016 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 4, 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 8; Time: 0.0184 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 5, 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 8; Time: 0.0248 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 6, 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 8; Time: 0.0323 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 7, 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 8; Time: 0.0346 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 8, 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 8; Time: 0.046 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 9, 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 8; Time: 0.0608 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 10, 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 8; Time: 0.0687 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 11, 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 8; Time: 0.0678 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 12, 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 8; Time: 0.0803 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 13, 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 8; Time: 0.1149 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 14, 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 8; Time: 0.1166 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 15, 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 8; Time: 0.1297 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 16, 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 8; Time: 0.1471 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 17, 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 8; Time: 0.1485 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 18, 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 8; Time: 0.2036 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 19, 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 8; Time: 0.2116 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 20, 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 8; Time: 0.1978 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 21, 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 8; Time: 0.2503 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 22, 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 8; Time: 0.2982 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 23, 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 8; Time: 0.2427 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 24, 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 8; Time: 0.2422 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 25, 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 8; Time: 0.325 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 26, 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 8; Time: 0.3615 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 27, 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 8; Time: 0.3123 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 28, 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 8; Time: 0.5071 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
Z(2, 29, 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 8; Time: 0.5243 ms; Top5 histogram(relative to max) : 0 0 0 0 8 ;
