Z(2, 2, 2, 2): Max: 3; Mean: 3; Variance: 0; Size: 8000; Time: 4.4071 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 3, 2, 2): Max: 4; Mean: 4; Variance: 0; Size: 8000; Time: 4.4157 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 4, 2, 2): Max: 5; Mean: 5; Variance: 0; Size: 8000; Time: 5.2985 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 5, 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 8000; Time: 6.1427 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 6, 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 8000; Time: 9.1273 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 7, 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 8000; Time: 8.2956 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 8, 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 8000; Time: 9.3569 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 9, 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 8000; Time: 9.4714 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 10, 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 8000; Time: 13.9173 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 11, 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 8000; Time: 14.0369 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 12, 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 8000; Time: 17.7777 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 13, 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 8000; Time: 16.989 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 14, 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 8000; Time: 18.8602 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 15, 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 8000; Time: 21.3486 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 16, 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 8000; Time: 25.1165 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 17, 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 8000; Time: 27.1208 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 18, 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 8000; Time: 29.9227 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 19, 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 8000; Time: 30.2486 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 20, 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 8000; Time: 42.8261 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 21, 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 8000; Time: 33.1952 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 22, 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 8000; Time: 42.0076 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 23, 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 8000; Time: 51.4223 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 24, 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 8000; Time: 58.3236 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 25, 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 8000; Time: 64.2795 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 26, 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 8000; Time: 79.9139 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 27, 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 8000; Time: 70.0357 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 28, 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 8000; Time: 81.8105 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 29, 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 8000; Time: 79.9124 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 30, 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 8000; Time: 75.6207 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 31, 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 8000; Time: 97.2438 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 32, 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 8000; Time: 120.032 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 33, 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 8000; Time: 117.073 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 34, 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 8000; Time: 128.002 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 35, 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 8000; Time: 106.915 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
Z(2, 36, 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 8000; Time: 156.159 ms; Top5 histogram(relative to max) : 0 0 0 0 8000 ;
